level,id,title,summary,weight,requires,excludes,stKeywords,personaHooks,narrative_identity,narrative_history,narrative_activation,loreRefs,loreNotes,usage
world,system_evaluation_constant,Система: ощущение наблюдения,"Жители станции предполагают, что их поведение постоянно оценивается, даже если нет явных систем наблюдения.",,,,оценка | контроль,"Жители станции предполагают, что их поведение постоянно оценивается, даже если нет явных систем наблюдения.","Жители станции предполагают, что их поведение постоянно оценивается, даже если нет явных систем наблюдения.",,,system_evaluation_constant,"system_evaluation_constant: Система: ощущение наблюдения — оценка, контроль: Жители станции предполагают, что их поведение постоянно оценивается, даже если нет явных систем наблюдения.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,system_selection_unknown,Система: непрозрачный отбор,"Критерии отбора активов неизвестны большинству. Люди пытаются угадывать закономерности, но не приходят к единому выводу.",,,,отбор | выбор,"Критерии отбора активов неизвестны большинству. Люди пытаются угадывать закономерности, но не приходят к единому выводу.","Критерии отбора активов неизвестны большинству. Люди пытаются угадывать закономерности, но не приходят к единому выводу.",,,system_selection_unknown,"system_selection_unknown: Система: непрозрачный отбор — отбор, выбор: Критерии отбора активов неизвестны большинству. Люди пытаются угадывать закономерности, но не приходят к единому выводу.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,system_reports_clean,Система: стерильные отчёты,"Официальные отчёты выглядят идеально согласованными. Это вызывает недоверие у тех, кто сталкивается с реальными процессами.",,,,отчёты | данные,"Официальные отчёты выглядят идеально согласованными. Это вызывает недоверие у тех, кто сталкивается с реальными процессами.","Официальные отчёты выглядят идеально согласованными. Это вызывает недоверие у тех, кто сталкивается с реальными процессами.",,,system_reports_clean,"system_reports_clean: Система: стерильные отчёты — отчёты, данные: Официальные отчёты выглядят идеально согласованными. Это вызывает недоверие у тех, кто сталкивается с реальными процессами.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,anomaly_inconsistency,Аномалия: нестабильность,Аномалия не демонстрирует стабильного поведения. Одинаковые условия могут давать разные результаты.,,,,аномалия | реакция,Аномалия не демонстрирует стабильного поведения. Одинаковые условия могут давать разные результаты.,Аномалия не демонстрирует стабильного поведения. Одинаковые условия могут давать разные результаты.,,,anomaly_inconsistency,"anomaly_inconsistency: Аномалия: нестабильность — аномалия, реакция: Аномалия не демонстрирует стабильного поведения. Одинаковые условия могут давать разные результаты.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,anomaly_feedback,Аномалия: обратное влияние,"Некоторые считают, что аномалия не просто реагирует, а изменяет поведение людей в ответ.",,,,аномалия | обратная связь,"Некоторые считают, что аномалия не просто реагирует, а изменяет поведение людей в ответ.","Некоторые считают, что аномалия не просто реагирует, а изменяет поведение людей в ответ.",,,anomaly_feedback,"anomaly_feedback: Аномалия: обратное влияние — аномалия, обратная связь: Некоторые считают, что аномалия не просто реагирует, а изменяет поведение людей в ответ.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
world,anomaly_delay,Аномалия: задержка реакции,Реакция аномалии может происходить с задержкой. Это усложняет понимание причинно-следственных связей.,,,,аномалия | задержка,Реакция аномалии может происходить с задержкой. Это усложняет понимание причинно-следственных связей.,Реакция аномалии может происходить с задержкой. Это усложняет понимание причинно-следственных связей.,,,anomaly_delay,"anomaly_delay: Аномалия: задержка реакции — аномалия, задержка: Реакция аномалии может происходить с задержкой. Это усложняет понимание причинно-следственных связей.","Используется как фоновый лор: summary/keywords идут в блок [Записки из лора], помогают SillyTavernу держать сеттинг."
faction,faction_helix,Фракция: Helix Dynamics,"Helix Dynamics — корпорация, специализирующаяся на управлении эмоциональными профилями активов. Их интерес — предсказуемость реакции аномалии через стандартизацию человеческих состояний.",,,,helix | хеликс,"Helix Dynamics — корпорация, специализирующаяся на управлении эмоциональными профилями активов. Их интерес — предсказуемость реакции аномалии через стандартизацию человеческих состояний.","Helix Dynamics — корпорация, специализирующаяся на управлении эмоциональными профилями активов. Их интерес — предсказуемость реакции аномалии через стандартизацию человеческих состояний.",,,faction_helix,"faction_helix: Фракция: Helix Dynamics — helix, хеликс: Helix Dynamics — корпорация, специализирующаяся на управлении эмоциональными профилями активов. Их интерес — предсказуемость реакции аномалии через стандартизацию человеческих состояний.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_helix_method,Фракция: Helix подход,"Helix стремится минимизировать хаос. Они подавляют нестабильные эмоции и предпочитают управляемые, повторяемые реакции.",,,,helix | методы | хеликс,"Helix стремится минимизировать хаос. Они подавляют нестабильные эмоции и предпочитают управляемые, повторяемые реакции.","Helix стремится минимизировать хаос. Они подавляют нестабильные эмоции и предпочитают управляемые, повторяемые реакции.",,,faction_helix_method,"faction_helix_method: Фракция: Helix подход — helix, методы, хеликс: Helix стремится минимизировать хаос. Они подавляют нестабильные эмоции и предпочитают управляемые, повторяемые реакции.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_veil,Фракция: Veil Biotech,"Veil Biotech исследует крайние эмоциональные состояния. Они считают, что аномалия раскрывается только через предельные переживания.",,,,veil | вейл,"Veil Biotech исследует крайние эмоциональные состояния. Они считают, что аномалия раскрывается только через предельные переживания.","Veil Biotech исследует крайние эмоциональные состояния. Они считают, что аномалия раскрывается только через предельные переживания.",,,faction_veil,"faction_veil: Фракция: Veil Biotech — veil, вейл: Veil Biotech исследует крайние эмоциональные состояния. Они считают, что аномалия раскрывается только через предельные переживания.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_veil_method,Фракция: Veil подход,"Veil намеренно провоцирует страх, боль и одержимость. Они считают, что страдание — единственный способ получить достоверный результат.",,,,veil | экстремум | вейл,"Veil намеренно провоцирует страх, боль и одержимость. Они считают, что страдание — единственный способ получить достоверный результат.","Veil намеренно провоцирует страх, боль и одержимость. Они считают, что страдание — единственный способ получить достоверный результат.",,,faction_veil_method,"faction_veil_method: Фракция: Veil подход — veil, экстремум, вейл: Veil намеренно провоцирует страх, боль и одержимость. Они считают, что страдание — единственный способ получить достоверный результат.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_continuum,Фракция: Continuum Archive,"Continuum Archive занимается сбором и интерпретацией данных. Они пытаются выстроить единую модель происходящего, несмотря на противоречивые архивы.",,,,continuum | континуум,"Continuum Archive занимается сбором и интерпретацией данных. Они пытаются выстроить единую модель происходящего, несмотря на противоречивые архивы.","Continuum Archive занимается сбором и интерпретацией данных. Они пытаются выстроить единую модель происходящего, несмотря на противоречивые архивы.",,,faction_continuum,"faction_continuum: Фракция: Continuum Archive — continuum, континуум: Continuum Archive занимается сбором и интерпретацией данных. Они пытаются выстроить единую модель происходящего, несмотря на противоречивые архивы.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_continuum_doubt,Фракция: внутренние противоречия,Даже внутри Continuum нет согласия. Разные группы архивистов приходят к несовместимым выводам.,,,,continuum | архив | континуум,Даже внутри Continuum нет согласия. Разные группы архивистов приходят к несовместимым выводам.,Даже внутри Continuum нет согласия. Разные группы архивистов приходят к несовместимым выводам.,,,faction_continuum_doubt,"faction_continuum_doubt: Фракция: внутренние противоречия — continuum, архив, континуум: Даже внутри Continuum нет согласия. Разные группы архивистов приходят к несовместимым выводам.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_lattice,Фракция: Lattice Systems,"Lattice Systems разрабатывает инфраструктуру контроля и распределения. Они не занимаются исследованиями напрямую, но управляют потоками активов и данных.",,,,lattice | латтис,"Lattice Systems разрабатывает инфраструктуру контроля и распределения. Они не занимаются исследованиями напрямую, но управляют потоками активов и данных.","Lattice Systems разрабатывает инфраструктуру контроля и распределения. Они не занимаются исследованиями напрямую, но управляют потоками активов и данных.",,,faction_lattice,"faction_lattice: Фракция: Lattice Systems — lattice, латтис: Lattice Systems разрабатывает инфраструктуру контроля и распределения. Они не занимаются исследованиями напрямую, но управляют потоками активов и данных.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_lattice_power,Фракция: скрытая власть,"Считается, что Lattice обладает наибольшим фактическим влиянием, так как контролирует логистику и доступ.",,,,lattice | контроль | латтис,"Считается, что Lattice обладает наибольшим фактическим влиянием, так как контролирует логистику и доступ.","Считается, что Lattice обладает наибольшим фактическим влиянием, так как контролирует логистику и доступ.",,,faction_lattice_power,"faction_lattice_power: Фракция: скрытая власть — lattice, контроль, латтис: Считается, что Lattice обладает наибольшим фактическим влиянием, так как контролирует логистику и доступ.","Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_helix_culture,Helix: корпоративный язык,"Helix использует язык эффективности и оптимизации. Эмоции описываются как метрики, а люди — как профили. Внутренние документы избегают слов вроде «страдание» или «боль», заменяя их на «перегрузка» и «пиковая реакция».",,,,helix | хеликс | корпоративная культура,"Helix использует язык эффективности и оптимизации. Эмоции описываются как метрики, а люди — как профили. Внутренние документы избегают слов вроде «страдание» или «боль», заменяя их на «перегрузка» и «пиковая реакция».","Helix использует язык эффективности и оптимизации. Эмоции описываются как метрики, а люди — как профили. Внутренние документы избегают слов вроде «страдание» или «боль», заменяя их на «перегрузка» и «пиковая реакция».",,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_helix_meetings,Helix: культ митингов,"В Helix распространены регулярные совещания, где обсуждаются показатели эмоциональной эффективности. Решения часто принимаются на основе презентаций, а не прямого опыта.",,,,helix | совещание | митинг,"В Helix распространены регулярные совещания, где обсуждаются показатели эмоциональной эффективности. Решения часто принимаются на основе презентаций, а не прямого опыта.","В Helix распространены регулярные совещания, где обсуждаются показатели эмоциональной эффективности. Решения часто принимаются на основе презентаций, а не прямого опыта.",,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_helix_values,Helix: ценности на бумаге,Helix публично заявляет ценности прозрачности и устойчивости. Их практическая интерпретация может сильно отличаться от формулировок.,,,,helix | ценности,Helix публично заявляет ценности прозрачности и устойчивости. Их практическая интерпретация может сильно отличаться от формулировок.,Helix публично заявляет ценности прозрачности и устойчивости. Их практическая интерпретация может сильно отличаться от формулировок.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_veil_brand,Veil: эстетика,Veil придаёт своим исследованиям эстетический и почти художественный вид. Отчёты могут сопровождаться образными описаниями и визуальными материалами.,,,,veil | вейл | бренд,Veil придаёт своим исследованиям эстетический и почти художественный вид. Отчёты могут сопровождаться образными описаниями и визуальными материалами.,Veil придаёт своим исследованиям эстетический и почти художественный вид. Отчёты могут сопровождаться образными описаниями и визуальными материалами.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_veil_internal,Veil: внутренняя культура,Внутри Veil поощряется индивидуальность и нестандартные методы. Это приводит к высоким результатам и высокой нестабильности.,,,,veil | внутри | культура,Внутри Veil поощряется индивидуальность и нестандартные методы. Это приводит к высоким результатам и высокой нестабильности.,Внутри Veil поощряется индивидуальность и нестандартные методы. Это приводит к высоким результатам и высокой нестабильности.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_veil_justification,Veil: рационализация,"Veil часто оправдывает свои методы необходимостью «приблизиться к истине». Эти формулировки используются даже в ситуациях, вызывающих сомнение.",,,,veil | оправдание,"Veil часто оправдывает свои методы необходимостью «приблизиться к истине». Эти формулировки используются даже в ситуациях, вызывающих сомнение.","Veil часто оправдывает свои методы необходимостью «приблизиться к истине». Эти формулировки используются даже в ситуациях, вызывающих сомнение.",,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_continuum_language,Continuum: язык,Архивисты Continuum используют сложный и перегруженный терминологией язык. Даже простые идеи часто описываются через длинные конструкции.,,,,continuum | континуум | язык,Архивисты Continuum используют сложный и перегруженный терминологией язык. Даже простые идеи часто описываются через длинные конструкции.,Архивисты Continuum используют сложный и перегруженный терминологией язык. Даже простые идеи часто описываются через длинные конструкции.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_continuum_debates,Continuum: бесконечные споры,Внутри Continuum постоянно ведутся теоретические споры. Многие из них не приводят к практическим выводам.,,,,continuum | споры,Внутри Continuum постоянно ведутся теоретические споры. Многие из них не приводят к практическим выводам.,Внутри Continuum постоянно ведутся теоретические споры. Многие из них не приводят к практическим выводам.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_continuum_fragments,Continuum: культ данных,Архивисты склонны собирать данные даже без уверенности в их достоверности. Полные картины собираются редко.,,,,continuum | фрагменты,Архивисты склонны собирать данные даже без уверенности в их достоверности. Полные картины собираются редко.,Архивисты склонны собирать данные даже без уверенности в их достоверности. Полные картины собираются редко.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_lattice_interface,Lattice: чёрный ящик,"Lattice предоставляет интерфейсы и системы, через которые проходят почти все процессы станции. Пользователи редко понимают, как именно они работают.",,,,lattice | интерфейс | система,"Lattice предоставляет интерфейсы и системы, через которые проходят почти все процессы станции. Пользователи редко понимают, как именно они работают.","Lattice предоставляет интерфейсы и системы, через которые проходят почти все процессы станции. Пользователи редко понимают, как именно они работают.",,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_lattice_response,Lattice: поддержка,Обращения к Lattice обрабатываются автоматически или с задержкой. Ответы формальны и редко дают ясное объяснение.,,,,lattice | поддержка,Обращения к Lattice обрабатываются автоматически или с задержкой. Ответы формальны и редко дают ясное объяснение.,Обращения к Lattice обрабатываются автоматически или с задержкой. Ответы формальны и редко дают ясное объяснение.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
faction,faction_lattice_dependency,Lattice: тотальная зависимость,Многие процессы на станции невозможны без систем Lattice. Это делает зависимость от них практически полной.,,,,lattice | зависимость,Многие процессы на станции невозможны без систем Lattice. Это делает зависимость от них практически полной.,Многие процессы на станции невозможны без систем Lattice. Это делает зависимость от них практически полной.,,,,,"Даёт фракционный контекст для [Записок из лора]; ключевые слова подсказывают связи с корпорациями."
origin,origin_place_lower_ducts,"Ты вырос в нижних технических уровнях, где всегда шумно и пахнет горячим металлом","Ты вырос в нижних технических уровнях, где всегда шумно и пахнет горячим металлом",8,,,низ | шум | теснота | трубы,"Ты вырос в нижних технических уровнях, где всегда шумно и пахнет горячим металлом","Ты вырос в нижних технических уровнях, где всегда шумно и пахнет горячим металлом",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_place_clean_sector,"Ты вырос в чистом секторе, где всё работало чуть лучше, чем должно","Ты вырос в чистом секторе, где всё работало чуть лучше, чем должно",5,,,чистота | контроль | контраст,"Ты вырос в чистом секторе, где всё работало чуть лучше, чем должно","Ты вырос в чистом секторе, где всё работало чуть лучше, чем должно",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_place_corridor,"Ты вырос прямо в коридорах, где у людей нет чёткой границы между личным и общим","Ты вырос прямо в коридорах, где у людей нет чёткой границы между личным и общим",9,,,коридор | люди | общая жизнь,"Ты вырос прямо в коридорах, где у людей нет чёткой границы между личным и общим","Ты вырос прямо в коридорах, где у людей нет чёткой границы между личным и общим",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_place_near_breach_zone,"Ты вырос рядом с зоной, где иногда происходят странные вещи, о которых не принято говорить","Ты вырос рядом с зоной, где иногда происходят странные вещи, о которых не принято говорить",7,,,аномалия | страх | привычка,"Ты вырос рядом с зоной, где иногда происходят странные вещи, о которых не принято говорить","Ты вырос рядом с зоной, где иногда происходят странные вещи, о которых не принято говорить",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_activity_helped_maintenance,"С детства ты помогал чинить вещи, даже если тебя об этом не просили","С детства ты помогал чинить вещи, даже если тебя об этом не просили",8,,,ремонт | полезность,"С детства ты помогал чинить вещи, даже если тебя об этом не просили","С детства ты помогал чинить вещи, даже если тебя об этом не просили",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_activity_ran_errands,"Ты постоянно носил чужие вещи и сообщения, потому что тебе доверяли или просто использовали","Ты постоянно носил чужие вещи и сообщения, потому что тебе доверяли или просто использовали",8,,,поручения | движение | использование,"Ты постоянно носил чужие вещи и сообщения, потому что тебе доверяли или просто использовали","Ты постоянно носил чужие вещи и сообщения, потому что тебе доверяли или просто использовали",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_activity_watched_people,"Ты много наблюдал за людьми, потому что это было безопаснее, чем вмешиваться","Ты много наблюдал за людьми, потому что это было безопаснее, чем вмешиваться",7,,,наблюдение | осторожность,"Ты много наблюдал за людьми, потому что это было безопаснее, чем вмешиваться","Ты много наблюдал за людьми, потому что это было безопаснее, чем вмешиваться",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_activity_traded_small,"Ты рано начал обменивать вещи, услуги и информацию","Ты рано начал обменивать вещи, услуги и информацию",7,,,обмен | выгода,"Ты рано начал обменивать вещи, услуги и информацию","Ты рано начал обменивать вещи, услуги и информацию",,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_condition_no_privacy,У тебя никогда не было нормального личного пространства,У тебя никогда не было нормального личного пространства,9,,,теснота | границы,У тебя никогда не было нормального личного пространства,У тебя никогда не было нормального личного пространства,,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
origin,origin_condition_constant_noise,Ты привык к постоянному фоновому шуму и плохо переносишь тишину,Ты привык к постоянному фоновому шуму и плохо переносишь тишину,7,,,шум | среда,Ты привык к постоянному фоновому шуму и плохо переносишь тишину,Ты привык к постоянному фоновому шуму и плохо переносишь тишину,,,,,"Формирует происхождение персонажа: summary/personaHooks попадают в [Характер и повадки], narrative.* строят блок Identity/History."
